,yearID,teamID,actual,model,model_type
321,1982,DET-1982,0.5123456790123457,0.4994320669490704,ML-LS-T1
321,1982,DET-1982,0.5123456790123457,0.5095122838595665,ML-RD-T1
322,1983,DET-1983,0.5679012345679012,0.5095344597647654,ML-EN-T1
322,1983,DET-1983,0.5679012345679012,0.520830262627159,ML-LN-T1
322,1983,DET-1983,0.5679012345679012,0.5010987424535929,ML-LS-T1
322,1983,DET-1983,0.5679012345679012,0.5207813737193573,ML-RD-T1
323,1984,DET-1984,0.6419753086419753,0.5386449772928303,ML-EN-T1
323,1984,DET-1984,0.6419753086419753,0.5730445879662491,ML-LN-T1
323,1984,DET-1984,0.6419753086419753,0.5022098594566079,ML-LS-T1
323,1984,DET-1984,0.6419753086419753,0.5728643402636515,ML-RD-T1
324,1985,DET-1985,0.5217391304347826,0.5143710510801982,ML-EN-T1
324,1985,DET-1985,0.5217391304347826,0.5290209564494035,ML-LN-T1
324,1985,DET-1985,0.5217391304347826,0.49955784401354214,ML-LS-T1
324,1985,DET-1985,0.5217391304347826,0.5289949771319742,ML-RD-T1
325,1986,DET-1986,0.5370370370370371,0.5249364532211005,ML-EN-T1
325,1986,DET-1986,0.5370370370370371,0.515629931405525,ML-LN-T1
325,1986,DET-1986,0.5370370370370371,0.5013487437792713,ML-LS-T1
325,1986,DET-1986,0.5370370370370371,0.5157097355085778,ML-RD-T1
326,1987,DET-1987,0.6049382716049383,0.5485906029835806,ML-EN-T1
326,1987,DET-1987,0.6049382716049383,0.5591102098104784,ML-LN-T1
326,1987,DET-1987,0.6049382716049383,0.504070980436658,ML-LS-T1
326,1987,DET-1987,0.6049382716049383,0.5590518991956683,ML-RD-T1
327,1988,DET-1988,0.5432098765432098,0.5135115960605816,ML-EN-T1
327,1988,DET-1988,0.5432098765432098,0.5308240359839249,ML-LN-T1
327,1988,DET-1988,0.5432098765432098,0.4987098408971107,ML-LS-T1
327,1988,DET-1988,0.5432098765432098,0.5307675237790523,ML-RD-T1
328,1989,DET-1989,0.36419753086419754,0.4808903038565922,ML-EN-T1
328,1989,DET-1989,0.36419753086419754,0.44600468625211853,ML-LN-T1
328,1989,DET-1989,0.36419753086419754,0.49632093934062843,ML-LS-T1
328,1989,DET-1989,0.36419753086419754,0.44623429519325153,ML-RD-T1
329,1990,DET-1990,0.4876543209876543,0.5052102075506888,ML-EN-T1
329,1990,DET-1990,0.4876543209876543,0.4822218743708104,ML-LN-T1
329,1990,DET-1990,0.4876543209876543,0.5000154033756533,ML-LS-T1
329,1990,DET-1990,0.4876543209876543,0.4823067371346223,ML-RD-T1
330,1991,DET-1991,0.5185185185185185,0.5322276761836797,ML-EN-T1
330,1991,DET-1991,0.5185185185185185,0.5314231735662935,ML-LN-T1
330,1991,DET-1991,0.5185185185185185,0.5018765243557034,ML-LS-T1
330,1991,DET-1991,0.5185185185185185,0.5313849706387211,ML-RD-T1
331,1992,DET-1992,0.46296296296296297,0.5217234388914614,ML-EN-T1
331,1992,DET-1992,0.46296296296296297,0.5011309099278554,ML-LN-T1
331,1992,DET-1992,0.46296296296296297,0.5011542983037436,ML-LS-T1
331,1992,DET-1992,0.46296296296296297,0.5012379910184117,ML-RD-T1
332,1993,DET-1993,0.5246913580246914,0.5461017658706426,ML-EN-T1
332,1993,DET-1993,0.5246913580246914,0.5217275247595907,ML-LN-T1
332,1993,DET-1993,0.5246913580246914,0.5041543142118841,ML-LS-T1
332,1993,DET-1993,0.5246913580246914,0.5218307420540442,ML-RD-T1
333,1994,DET-1994,0.4608695652173913,0.5444467145104812,ML-EN-T1
333,1994,DET-1994,0.4608695652173913,0.5086527191164376,ML-LN-T1
333,1994,DET-1994,0.4608695652173913,0.504695138335743,ML-LS-T1
333,1994,DET-1994,0.4608695652173913,0.5088362936151278,ML-RD-T1
334,1995,DET-1995,0.4166666666666667,0.5010874852968485,ML-EN-T1
334,1995,DET-1995,0.4166666666666667,0.4669021247690364,ML-LN-T1
334,1995,DET-1995,0.4166666666666667,0.4996195679433292,ML-LS-T1
